"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","released","runtime"
"1",1986,"ACTOR IN A LEADING ROLE",FALSE,"Dexter Gordon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1986,"ACTOR IN A LEADING ROLE",FALSE,"Bob Hoskins",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1986,"ACTOR IN A LEADING ROLE",FALSE,"William Hurt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1986,"ACTOR IN A LEADING ROLE",TRUE,"Paul Newman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1986,"ACTOR IN A LEADING ROLE",FALSE,"James Woods",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1986,"ACTOR IN A SUPPORTING ROLE",FALSE,"Tom Berenger",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1986,"ACTOR IN A SUPPORTING ROLE",TRUE,"Michael Caine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1986,"ACTOR IN A SUPPORTING ROLE",FALSE,"Willem Dafoe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1986,"ACTOR IN A SUPPORTING ROLE",FALSE,"Denholm Elliott",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1986,"ACTOR IN A SUPPORTING ROLE",FALSE,"Dennis Hopper",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1986,"ACTRESS IN A LEADING ROLE",FALSE,"Jane Fonda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1986,"ACTRESS IN A LEADING ROLE",TRUE,"Marlee Matlin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1986,"ACTRESS IN A LEADING ROLE",FALSE,"Sissy Spacek",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1986,"ACTRESS IN A LEADING ROLE",FALSE,"Kathleen Turner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1986,"ACTRESS IN A LEADING ROLE",FALSE,"Sigourney Weaver",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1986,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Tess Harper",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1986,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Piper Laurie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1986,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Mary Elizabeth Mastrantonio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1986,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Maggie Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1986,"ACTRESS IN A SUPPORTING ROLE",TRUE,"Dianne Wiest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1986,"ART DIRECTION",FALSE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"22",1986,"ART DIRECTION",FALSE,"The Color of Money",13800000,"Touchstone Pictures","USA","Martin Scorsese","Drama",52293982,"R","1986-10-17",119
"23",1986,"ART DIRECTION",FALSE,"Hannah and Her Sisters",6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"PG-13","1986-03-14",107
"24",1986,"ART DIRECTION",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"25",1986,"ART DIRECTION",TRUE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1986,"CINEMATOGRAPHY",TRUE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"27",1986,"CINEMATOGRAPHY",FALSE,"Peggy Sue Got Married",1.8e+07,"TriStar Pictures","USA","Francis Ford Coppola","Comedy",41382841,"PG-13","1986-10-10",103
"28",1986,"CINEMATOGRAPHY",FALSE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"29",1986,"CINEMATOGRAPHY",FALSE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1986,"CINEMATOGRAPHY",FALSE,"Star Trek IV: The Voyage Home",2.5e+07,"Paramount Pictures","USA","Leonard Nimoy","Adventure",109713132,"PG","1986-11-26",119
"31",1986,"COSTUME DESIGN",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"32",1986,"COSTUME DESIGN",FALSE,"Otello",0,"Cannon City Produktie Maatschappij B.V.","Netherlands","Franco Zeffirelli","Drama",189042,"PG","1986-09-12",100
"33",1986,"COSTUME DESIGN",FALSE,"Peggy Sue Got Married",1.8e+07,"TriStar Pictures","USA","Francis Ford Coppola","Comedy",41382841,"PG-13","1986-10-10",103
"34",1986,"COSTUME DESIGN",FALSE,"Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1986,"COSTUME DESIGN",TRUE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1986,"DIRECTING",FALSE,"Blue Velvet",6e+06,"De Laurentiis Entertainment Group (DEG)","USA","David Lynch","Drama",8551228,"R","1986-10-23",120
"37",1986,"DIRECTING",FALSE,"Hannah and Her Sisters",6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"PG-13","1986-03-14",107
"38",1986,"DIRECTING",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"39",1986,"DIRECTING",TRUE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"40",1986,"DIRECTING",FALSE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1986,"DOCUMENTARY (Feature)",TRUE,"Artie Shaw: Time Is All You've Got",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1986,"DOCUMENTARY (Feature)",FALSE,"Chile: Hasta Cuando?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1986,"DOCUMENTARY (Feature)",TRUE,"Down and Out in America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1986,"DOCUMENTARY (Feature)",FALSE,"Isaac in America: A Journey with Isaac Bashevis Singer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1986,"DOCUMENTARY (Feature)",FALSE,"Witness to Apartheid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1986,"DOCUMENTARY (Short Subject)",FALSE,"Debonair Dancers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1986,"DOCUMENTARY (Short Subject)",FALSE,"The Masters of Disaster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1986,"DOCUMENTARY (Short Subject)",FALSE,"Red Grooms: Sunflower in a Hothouse",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1986,"DOCUMENTARY (Short Subject)",FALSE,"Sam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1986,"DOCUMENTARY (Short Subject)",TRUE,"Women--for America, for the World",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1986,"FILM EDITING",FALSE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"52",1986,"FILM EDITING",FALSE,"Hannah and Her Sisters",6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"PG-13","1986-03-14",107
"53",1986,"FILM EDITING",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"54",1986,"FILM EDITING",TRUE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"55",1986,"FILM EDITING",FALSE,"Top Gun",1.5e+07,"Paramount Pictures","USA","Tony Scott","Action",179800601,"PG","1986-05-16",110
"56",1986,"FOREIGN LANGUAGE FILM",TRUE,"The Assault",0,"Fons Rademakers Produktie","Netherlands","Fons Rademakers","Drama",203781,"PG","1986-02-06",155
"57",1986,"FOREIGN LANGUAGE FILM",FALSE,"Betty Blue",0,"Gaumont","France","Jean-Jacques Beineix","Drama",2003822,"Not specified","1986-11-07",120
"58",1986,"FOREIGN LANGUAGE FILM",FALSE,"The Decline of the American Empire",0,"Corporation Image M & M","Canada","Denys Arcand","Comedy",1902706,"R","1986-11-14",101
"59",1986,"FOREIGN LANGUAGE FILM",FALSE,"My Sweet Little Village",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1986,"FOREIGN LANGUAGE FILM",FALSE,"'38'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1986,"MAKEUP",FALSE,"The Clan of the Cave Bear",1.5e+07,"Warner Bros.","USA","Michael Chapman","Adventure",1953732,"R","1986-01-17",98
"62",1986,"MAKEUP",TRUE,"The Fly",1.5e+07,"SLM Production Group","USA","David Cronenberg","Drama",40456565,"R","1986-08-15",96
"63",1986,"MAKEUP",FALSE,"Legend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1986,"MUSIC (Original Score)",FALSE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"65",1986,"MUSIC (Original Score)",FALSE,"Hoosiers",6e+06,"De Haven Productions","UK","David Anspaugh","Drama",28607524,"PG","1987-02-27",114
"66",1986,"MUSIC (Original Score)",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"67",1986,"MUSIC (Original Score)",TRUE,"'Round Midnight",0,"Little Bear","USA","Bertrand Tavernier","Drama",3272600,"R","1986-10-03",133
"68",1986,"MUSIC (Original Score)",FALSE,"Star Trek IV: The Voyage Home",2.5e+07,"Paramount Pictures","USA","Leonard Nimoy","Adventure",109713132,"PG","1986-11-26",119
"69",1986,"MUSIC (Original Song)",FALSE,"The Karate Kid Part II",0,"Columbia Pictures Corporation","USA","John G. Avildsen","Action",115103979,"PG","1986-06-20",113
"70",1986,"MUSIC (Original Song)",FALSE,"That's Life",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1986,"MUSIC (Original Song)",FALSE,"Little Shop of Horrors",2.5e+07,"Geffen Company, The","USA","Frank Oz","Comedy",38747385,"PG-13","1986-12-19",94
"72",1986,"MUSIC (Original Song)",FALSE,"An American Tail",0,"Universal Pictures","USA","Don Bluth","Animation",47483002,"G","1986-11-21",80
"73",1986,"MUSIC (Original Song)",TRUE,"Top Gun",1.5e+07,"Paramount Pictures","USA","Tony Scott","Action",179800601,"PG","1986-05-16",110
"74",1986,"BEST PICTURE",FALSE,"Children of a Lesser God",0,"Paramount Pictures","USA","Randa Haines","Drama",31853080,"R","1986-10-31",119
"75",1986,"BEST PICTURE",FALSE,"Hannah and Her Sisters",6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"PG-13","1986-03-14",107
"76",1986,"BEST PICTURE",FALSE,"The Mission",24500000,"Warner Bros.","UK","Roland Joff<e9>","Adventure",17218023,"PG","1986-10-31",125
"77",1986,"BEST PICTURE",TRUE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"78",1986,"BEST PICTURE",FALSE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1986,"SHORT FILM (Animated)",FALSE,"The Frog, the Dog and the Devil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1986,"SHORT FILM (Animated)",TRUE,"A Greek Tragedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1986,"SHORT FILM (Animated)",FALSE,"Luxo Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1986,"SHORT FILM (Live Action)",FALSE,"Exit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1986,"SHORT FILM (Live Action)",FALSE,"Love Struck",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1986,"SHORT FILM (Live Action)",TRUE,"Precious Images",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1986,"SOUND",FALSE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"86",1986,"SOUND",FALSE,"Heartbreak Ridge",1.5e+07,"Jay Weston Productions","USA","Clint Eastwood","Action",42724017,"R","1986-12-05",130
"87",1986,"SOUND",TRUE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"88",1986,"SOUND",FALSE,"Star Trek IV: The Voyage Home",2.5e+07,"Paramount Pictures","USA","Leonard Nimoy","Adventure",109713132,"PG","1986-11-26",119
"89",1986,"SOUND",FALSE,"Top Gun",1.5e+07,"Paramount Pictures","USA","Tony Scott","Action",179800601,"PG","1986-05-16",110
"90",1986,"SOUND EFFECTS EDITING",TRUE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"91",1986,"SOUND EFFECTS EDITING",FALSE,"Star Trek IV: The Voyage Home",2.5e+07,"Paramount Pictures","USA","Leonard Nimoy","Adventure",109713132,"PG","1986-11-26",119
"92",1986,"SOUND EFFECTS EDITING",FALSE,"Top Gun",1.5e+07,"Paramount Pictures","USA","Tony Scott","Action",179800601,"PG","1986-05-16",110
"93",1986,"VISUAL EFFECTS",TRUE,"Aliens",18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"R","1986-07-18",137
"94",1986,"VISUAL EFFECTS",FALSE,"Little Shop of Horrors",2.5e+07,"Geffen Company, The","USA","Frank Oz","Comedy",38747385,"PG-13","1986-12-19",94
"95",1986,"VISUAL EFFECTS",FALSE,"Poltergeist II: The Other Side",1.9e+07,"Freddie Fields Productions","USA","Brian Gibson","Horror",40996665,"PG-13","1986-05-23",91
"96",1986,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Children of a Lesser God",0,"Paramount Pictures","USA","Randa Haines","Drama",31853080,"R","1986-10-31",119
"97",1986,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"The Color of Money",13800000,"Touchstone Pictures","USA","Martin Scorsese","Drama",52293982,"R","1986-10-17",119
"98",1986,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Crimes of the Heart",2e+07,"De Laurentiis Entertainment Group (DEG)","USA","Bruce Beresford","Comedy",22905500,"PG-13","1987-01-23",105
"99",1986,"WRITING (Screenplay Based on Material from Another Medium)",TRUE,"A Room with a View",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1986,"WRITING (Screenplay Based on Material from Another Medium)",FALSE,"Stand by Me",8e+06,"Columbia Pictures Corporation","USA","Rob Reiner","Adventure",52287414,"R","1986-08-22",89
"101",1986,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"'Crocodile' Dundee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1986,"WRITING (Screenplay Written Directly for the Screen)",TRUE,"Hannah and Her Sisters",6400000,"Orion Pictures","USA","Woody Allen","Comedy",40084041,"PG-13","1986-03-14",107
"103",1986,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"My Beautiful Laundrette",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1986,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","1987-02-06",120
"105",1986,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1986,"HONORARY AWARD",TRUE,"To Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1986,"IRVING G. THALBERG MEMORIAL AWARD",TRUE,"Steven Spielberg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To BRAN FERREN, CHARLES HARRISON and KENNETH WISNER of Associates and Ferren for the concept and design of an advanced optical printer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To RICHARD BENJAMIN GRANT and RON GRANT of Auricle Control Systems for their invention of the Film Composer's Time Processor.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To ANTHONY D. BRUNO and JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories Incorporated and to MANFRED G. MICHELSON and BRUCE W. KELLER of Technical Film Systems, Incorporated, for the design and engineering of a Continuous-Feed Printer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To ROBERT GREENBERG, JOEL HYNEK and EUGENE MAMUT of R/Greenberg Associates, Incorporated, and to DR. ALFRED THUMIM, ELAN LIPSCHITZ and DARRYL A. ARMOUR of the Oxberry Division of Richmark Camera Service, Incorporated, for the design and development of the RGA/Oxberry Compu-Quad Special Effects Optical Printer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To PROFESSOR FRITZ SENNHEISER of Sennheiser Electronic Corporation for the invention of an interference tube directional microphone.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To RICHARD EDLUND, GENE WHITEMAN, DAVID GRAFTON, MARK WEST, JERRY JEFFRESS and BOB WILCOX of Boss Film Corporation for the design and development of a Zoom Aerial (ZAP) 65mm Optical Printer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",1986,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To WILLIAM L. FREDRICK and HAL NEEDHAM for the design and development of the Shotmaker Elite camera car and crane.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To LEE ELECTRIC (LIGHTING) LIMITED for the design and development of an electronic, flicker-free, discharge lamp control system.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To PETER D. PARKS of Oxford Scientific Films' Image Quest Division for the development of a live aero-compositor for special effects photography.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To MATT SWEENEY and LUCINDA STRUB for the development of an automatic capsule gun for simulating bullet hits for motion picture special effects.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To CARL HOLMES of Carl E. Holmes Company and to ALEXANDER BRYCE of The Burbank Studios for the development of a mobile DC power supply unit for motion picture production photography.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To BRAN FERREN of Associates and Ferren for the development of a laser synchro-cue system for applications in the motion picture industry.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories, Inc. for the development and installation of a computerized silver recovery operation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To DAVID W. SAMUELSON for the development of programs incorporated into a pocket computer for motion picture cinematographers, and to WILLIAM B. POLLARD for contributing new algorithms on which the programs are based.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1986,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To HAL LANDAKER and ALAN LANDAKER of The Burbank Studios for the development of the Beat System low-frequency cue track for motion picture production sound recording.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1986,"MEDAL OF COMMENDATION",TRUE,"To E. M. (Al) Lewis in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1987,"ACTOR IN A LEADING ROLE",TRUE,"Michael Douglas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1987,"ACTOR IN A LEADING ROLE",FALSE,"William Hurt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1987,"ACTOR IN A LEADING ROLE",FALSE,"Marcello Mastroianni",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1987,"ACTOR IN A LEADING ROLE",FALSE,"Jack Nicholson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1987,"ACTOR IN A LEADING ROLE",FALSE,"Robin Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1987,"ACTOR IN A SUPPORTING ROLE",FALSE,"Albert Brooks",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1987,"ACTOR IN A SUPPORTING ROLE",TRUE,"Sean Connery",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1987,"ACTOR IN A SUPPORTING ROLE",FALSE,"Morgan Freeman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",1987,"ACTOR IN A SUPPORTING ROLE",FALSE,"Vincent Gardenia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1987,"ACTOR IN A SUPPORTING ROLE",FALSE,"Denzel Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1987,"ACTRESS IN A LEADING ROLE",TRUE,"Cher",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1987,"ACTRESS IN A LEADING ROLE",FALSE,"Glenn Close",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",1987,"ACTRESS IN A LEADING ROLE",FALSE,"Holly Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1987,"ACTRESS IN A LEADING ROLE",FALSE,"Sally Kirkland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1987,"ACTRESS IN A LEADING ROLE",FALSE,"Meryl Streep",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1987,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Norma Aleandro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1987,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Anne Archer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1987,"ACTRESS IN A SUPPORTING ROLE",TRUE,"Olympia Dukakis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1987,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Anne Ramsey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1987,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Ann Sothern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1987,"ART DIRECTION",FALSE,"Empire of the Sun",3.5e+07,"Amblin Entertainment","USA","Steven Spielberg","Drama",22238696,"PG","1987-12-25",153
