"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","runtime"
"1",1986,"ACTOR IN A LEADING ROLE","TRUE","Paul Newman",13800000,"Touchstone Pictures","USA","Martin Scorsese","Drama",52293982,"R","119"
"2",1987,"ACTOR IN A LEADING ROLE","TRUE","Michael Douglas",1.4e+07,"Paramount Pictures","USA","Adrian Lyne","Drama",156645693,"R","119"
"3",1988,"ACTOR IN A LEADING ROLE","TRUE","Dustin Hoffman",2.5e+07,"United Artists","USA","Barry Levinson","Drama",172825435,"R","133"
"4",1989,"ACTOR IN A LEADING ROLE","TRUE","Daniel Day Lewis",6e+05,NA,"UK","Jim Sheridan","Drama",14700000,"R","119"
"5",1990,"ACTOR IN A LEADING ROLE","TRUE","Jeremy Irons",NA,"Sovereign Pictures","USA","Barbet Schroeder","Biography",15445131,"R","111"
"6",1991,"ACTOR IN A LEADING ROLE","TRUE","Anthony Hopkins",1.9e+07,NA,"USA","Jonathan Demme","Thriller",272700000,"R","138"
"7",1992,"ACTOR IN A LEADING ROLE","TRUE","Al Pacino",3.1e+07,"Universal Pictures","USA","Martin Brest","Drama",63895607,"R","156"
"8",1993,"ACTOR IN A LEADING ROLE","TRUE","Tom Hanks",2.1e+07,"TriStar Pictures","USA","Nora Ephron","Comedy",126533006,"PG","105"
"9",1994,"ACTOR IN A LEADING ROLE","TRUE","Tom Hanks",5.5e+07,"Paramount Pictures","USA","Robert Zemeckis","Comedy",330252182,"PG-13","142"
"10",1995,"ACTOR IN A LEADING ROLE","TRUE","Nicolas Cage",3600000,"Lumiere Pictures","France","Mike Figgis","Drama",31968347,"R","111"
"11",1996,"ACTOR IN A LEADING ROLE","TRUE","Geoffrey Rush",5500000,"Australian Film Finance Corporation (AFFC)","Australia","Scott Hicks","Biography",35811509,"PG-13","105"
"12",1997,"ACTOR IN A LEADING ROLE","TRUE","Jack Nicholson",5e+07,"TriStar Pictures","USA","James L. Brooks","Comedy",148478011,"PG-13","139"
"13",1998,"ACTOR IN A LEADING ROLE","TRUE","Roberto Benigni",2e+07,NA,"Italy","Roberto Benigni","Comedy",230100000,"PG-13","122"
"14",1999,"ACTOR IN A LEADING ROLE","TRUE","Kevin Spacey",1.5e+07,"DreamWorks","USA","Sam Mendes","Drama",130096601,"R","122"
"15",2000,"ACTOR IN A LEADING ROLE","TRUE","Russell Crowe",1.03e+08,"DreamWorks","USA","Ridley Scott","Action",187705427,"R","155"
"16",2002,"ACTOR IN A LEADING ROLE","TRUE","Adrien Brody",3.5e+07,"R.P. Productions","France","Roman Polanski","Biography",32572577,"R","150"
"17",2003,"ACTOR IN A LEADING ROLE","TRUE","Sean Penn",2.5e+07,"Warner Bros.","USA","Clint Eastwood","Crime",90135191,"R","138"
"18",2004,"ACTOR IN A LEADING ROLE","TRUE","Jamie Foxx",4e+07,"Universal Pictures","USA","Taylor Hackford","Biography",75331600,"PG-13","152"
"19",2005,"ACTOR IN A LEADING ROLE","TRUE","Philip Seymour Hoffman",7e+06,"Sony Pictures Classics","USA","Bennett Miller","Biography",28747570,"R","114"
"20",2006,"ACTOR IN A LEADING ROLE","TRUE","Forest Whitaker",6e+06,NA,"UK","Kevin Macdonald","Drama",49155371,"R","123"
"21",2007,"ACTOR IN A LEADING ROLE","TRUE","Daniel Day-Lewis",2.5e+07,"Paramount Vantage","USA","Paul Thomas Anderson","Drama",40222514,"R","158"
"22",2008,"ACTOR IN A LEADING ROLE","TRUE","Sean Penn",2e+07,"Focus Features","USA","Gus Van Sant","Biography",31841299,"R","128"
"23",2009,"ACTOR IN A LEADING ROLE","TRUE","Jeff Bridges",7e+06,"Fox Searchlight Pictures","USA","Scott Cooper","Drama",39462438,"R","112"
"24",2010,"ACTOR IN A LEADING ROLE","TRUE","Colin Firth",1.5e+07,"See-Saw Films","UK","Tom Hooper","Biography",138797449,"R","118"
"25",2011,"ACTOR IN A LEADING ROLE","TRUE","Jean Dujardin",1.5e+07,"Studio 37","France","Michel Hazanavicius","Comedy",44671682,"PG-13","100"
"26",2012,"ACTOR IN A LEADING ROLE","TRUE","Daniel Day-Lewis",6.5e+07,"DreamWorks","USA","Steven Spielberg","Biography",182207973,"PG-13","150"
"27",2013,"ACTOR IN A LEADING ROLE","TRUE","Matthew McConaughey",5e+06,"Truth Entertainment (II)","USA","Jean-Marc Vall<e9>e","Biography",27298285,"R","117"
"28",2014,"ACTOR IN A LEADING ROLE","TRUE","Eddie Redmayne",1.5e+07,"Working Title Films","UK","James Marsh","Biography",35893537,"PG-13","123"
"29",2015,"ACTOR IN A LEADING ROLE","TRUE","Leonardo DiCaprio",1.35e+08,"Regency Enterprises","Hong Kong","Alejandro Gonz<e1>lez I<f1><e1>rritu","Adventure",183637894,"R","156"
"30",2016,"ACTOR IN A LEADING ROLE","TRUE","Casey Affleck",8500000,"Amazon Studios","USA","Kenneth Lonergan","Drama",47695120,"R","137"
"31",2017,"ACTOR IN A LEADING ROLE","TRUE","Gary Oldman",3e+07,"Perfect World Pictures","UK","Joe Wright","Drama",150900000,"PG-13","125"
"32",2018,"ACTOR IN A LEADING ROLE","TRUE","Rami Malek",5.2e+07,"20th Century Studios","UK","Bryan Singer","Drama",903700000,NA,"133"
"33",2019,"ACTOR IN A LEADING ROLE","TRUE","Joaquin Phoenix",62500000,"Warner Bros.","USA","Todd Phillips","Thriller",1.07e+09,"R","122"
"34",2001,"ACTOR IN A LEADING ROLE","TRUE","Denzel Washington",4.5e+07,"Warner Bros.","USA","Antoine Fuqua","Action",104900000,"R","122"
"35",1986,"ACTRESS IN A LEADING ROLE","TRUE","Marlee Matlin",10500000,NA,"USA","Randa Haines","Romance",31900000,"R","119"
"36",1987,"ACTRESS IN A LEADING ROLE","TRUE","Cher",1.5e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Norman Jewison","Comedy",80640528,"PG","102"
"37",1988,"ACTRESS IN A LEADING ROLE","TRUE","Jodie Foster",6e+06,NA,"USA","Jonathan Kaplan","Drama",37700000,"R","119"
"38",1989,"ACTRESS IN A LEADING ROLE","TRUE","Jessica Tandy",7500000,NA,"USA","Bruce Beresford","Drama",145800000,"PG","100"
"39",1990,"ACTRESS IN A LEADING ROLE","TRUE","Kathy Bates",2e+07,NA,"USA","Rob Reiner","Horror",61300000,"R","107"
"40",1991,"ACTRESS IN A LEADING ROLE","TRUE","Jodie Foster",1.9e+07,"Strong Heart/Demme Production","USA","Jonathan Demme","Crime",130742922,"R","118"
"41",1992,"ACTRESS IN A LEADING ROLE","TRUE","Emma Thompson",8e+06,NA,"UK","James Ivory","Drama",26100000,"PG","143"
"42",1993,"ACTRESS IN A LEADING ROLE","TRUE","Holly Hunter",7e+06,"CiBy 2000","New Zealand","Jane Campion","Drama",40158000,"R","121"
"43",1994,"ACTRESS IN A LEADING ROLE","TRUE","Jessica Lange",1.6e+07,"Heathrow Productions","USA","Tony Richardson","Drama",3359465,"PG-13","101"
"44",1995,"ACTRESS IN A LEADING ROLE","TRUE","Susan Sarandon",1.1e+07,"Havoc","UK","Tim Robbins","Crime",39387284,"R","122"
"45",1996,"ACTRESS IN A LEADING ROLE","TRUE","Frances McDormand",7e+06,NA,"USA","Coens","Thriller",60600000,"R","98"
"46",1997,"ACTRESS IN A LEADING ROLE","TRUE","Helen Hunt",5e+07,NA,"USA","James Brooks","Romance",314100000,"PG-13","139"
"47",1998,"ACTRESS IN A LEADING ROLE","TRUE","Gwyneth Paltrow",2.5e+07,"Universal Pictures","USA","John Madden","Comedy",100317794,"R","123"
"48",1999,"ACTRESS IN A LEADING ROLE","TRUE","Hilary Swank",2e+06,"Fox Searchlight Pictures","USA","Kimberly Peirce","Biography",11533945,"R","118"
"49",2000,"ACTRESS IN A LEADING ROLE","TRUE","Julia Roberts",5.2e+07,"Universal Pictures","USA","Steven Soderbergh","Biography",125595205,"R","131"
"50",2001,"ACTRESS IN A LEADING ROLE","TRUE","Halle Berry",4e+06,NA,"USA","Marc Forster","Drama",44900000,"R","112"
"51",2002,"ACTRESS IN A LEADING ROLE","TRUE","Nicole Kidman",2.5e+07,NA,"USA","Stephen Daldry","Drama",108846072,"PG-13","114"
"52",2003,"ACTRESS IN A LEADING ROLE","TRUE","Charlize Theron",4500000,"Media 8 Entertainment","Germany","Patty Jenkins","Biography",34469210,"R","109"
"53",2004,"ACTRESS IN A LEADING ROLE","TRUE","Hilary Swank",3e+07,"Warner Bros.","USA","Clint Eastwood","Drama",100492203,"PG-13","132"
"54",2005,"ACTRESS IN A LEADING ROLE","TRUE","Reese Witherspoon",5.8e+07,"DreamWorks","USA","Mark Waters","Comedy",48318130,"PG-13","95"
"55",2006,"ACTRESS IN A LEADING ROLE","TRUE","Helen Mirren",1.5e+07,"Path<e9> Pictures International","UK","Stephen Frears","Biography",56441711,"PG-13","103"
"56",2007,"ACTRESS IN A LEADING ROLE","TRUE","Marion Cotillard",2.5e+07,"L<e9>gende Films","France","Olivier Dahan","Biography",10301706,"PG-13","140"
"57",2008,"ACTRESS IN A LEADING ROLE","TRUE","Kate Winslet",3.2e+07,"The Weinstein Company","USA","Stephen Daldry","Drama",34194407,"R","124"
"58",2009,"ACTRESS IN A LEADING ROLE","TRUE","Sandra Bullock",4e+07,"Touchstone Pictures","USA","Anne Fletcher","Comedy",163958031,"PG-13","108"
