,year,category,winner,entity,budget,company,country,director,genre,gross,name,rating,released,runtime,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation
1,1986,ACTOR IN A LEADING ROLE,FALSE,Dexter Gordon,0,Little Bear,USA,Bertrand Tavernier,Drama,3272600,'Round Midnight,R,10/3/1986,133,,,,,
2,1986,ACTOR IN A LEADING ROLE,FALSE,Bob Hoskins,0,HandMade Films,UK,Neil Jordan,Crime,5794184,Mona Lisa,R,6/13/1986,104,,,,,
3,1986,ACTOR IN A LEADING ROLE,FALSE,William Hurt,0,Paramount Pictures,USA,Randa Haines,Drama,31853080,Children of a Lesser God,R,10/31/1986,119,,,,,
4,1986,ACTOR IN A LEADING ROLE,TRUE,Paul Newman,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,10/17/1986,119,,,,,
5,1986,ACTOR IN A LEADING ROLE,FALSE,James Woods,,,,,,,,,,,,,,,
6,1986,ACTOR IN A SUPPORTING ROLE,FALSE,Tom Berenger,,,,,,,,,,,,,,,
7,1986,ACTOR IN A SUPPORTING ROLE,TRUE,Michael Caine,0,Portreeve,UK,Simon Langton,Thriller,1500000,The Whistle Blower,PG,7/10/1987,100,,,,,
8,1986,ACTOR IN A SUPPORTING ROLE,FALSE,Willem Dafoe,,,,,,,,,,,,,,,
9,1986,ACTOR IN A SUPPORTING ROLE,FALSE,Denholm Elliott,,,,,,,,,,,,,,,
10,1986,ACTOR IN A SUPPORTING ROLE,FALSE,Dennis Hopper,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,8/22/1986,89,,,,,
11,1986,ACTRESS IN A LEADING ROLE,FALSE,Jane Fonda,0,American Filmworks,USA,Sidney Lumet,Crime,25147055,The Morning After,R,12/25/1986,103,,,,,
12,1986,ACTRESS IN A LEADING ROLE,TRUE,Marlee Matlin,,,,,,,,,,,,,,,
13,1986,ACTRESS IN A LEADING ROLE,FALSE,Sissy Spacek,0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863,"'night, Mother",PG-13,1/29/1987,96,,,,,
14,1986,ACTRESS IN A LEADING ROLE,FALSE,Sissy Spacek,0,Rastar Films,USA,Jack Fisk,Drama,4743287,Violets Are Blue...,PG-13,4/25/1986,88,,,,,
15,1986,ACTRESS IN A LEADING ROLE,FALSE,Kathleen Turner,1.80E+07,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/1986,103,,,,,
16,1986,ACTRESS IN A LEADING ROLE,FALSE,Sigourney Weaver,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,7/18/1986,137,,,,,
17,1986,ACTRESS IN A LEADING ROLE,FALSE,Sigourney Weaver,0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399,Half Moon Street,R,9/26/1986,90,,,,,
18,1986,ACTRESS IN A SUPPORTING ROLE,FALSE,Tess Harper,,,,,,,,,,,,,,,
19,1986,ACTRESS IN A SUPPORTING ROLE,FALSE,Piper Laurie,,,,,,,,,,,,,,,
20,1986,ACTRESS IN A SUPPORTING ROLE,FALSE,Mary Elizabeth Mastrantonio,,,,,,,,,,,,,,,
21,1986,ACTRESS IN A SUPPORTING ROLE,FALSE,Maggie Smith,,,,,,,,,,,,,,,
22,1986,ACTRESS IN A SUPPORTING ROLE,TRUE,Dianne Wiest,,,,,,,,,,,,,,,
23,1986,ART DIRECTION,FALSE,Aliens,,,,,,,,,,,,,,,
24,1986,ART DIRECTION,FALSE,The Color of Money,,,,,,,,,,,,,,,
25,1986,ART DIRECTION,FALSE,Hannah and Her Sisters,,,,,,,,,,,,,,,
26,1986,ART DIRECTION,FALSE,The Mission,,,,,,,,,,,,,,,
27,1986,ART DIRECTION,TRUE,A Room with a View,,,,,,,,,,,,,,,
28,1986,CINEMATOGRAPHY,TRUE,The Mission,,,,,,,,,,,,,,,
29,1986,CINEMATOGRAPHY,FALSE,Peggy Sue Got Married,,,,,,,,,,,,,,,
30,1986,CINEMATOGRAPHY,FALSE,Platoon,,,,,,,,,,,,,,,
31,1986,CINEMATOGRAPHY,FALSE,A Room with a View,,,,,,,,,,,,,,,
32,1986,CINEMATOGRAPHY,FALSE,Star Trek IV: The Voyage Home,,,,,,,,,,,,,,,
33,1986,COSTUME DESIGN,FALSE,The Mission,,,,,,,,,,,,,,,
34,1986,COSTUME DESIGN,FALSE,Otello,,,,,,,,,,,,,,,
35,1986,COSTUME DESIGN,FALSE,Peggy Sue Got Married,,,,,,,,,,,,,,,
36,1986,COSTUME DESIGN,FALSE,Pirates,,,,,,,,,,,,,,,
37,1986,COSTUME DESIGN,TRUE,A Room with a View,,,,,,,,,,,,,,,
38,1986,DIRECTING,FALSE,Blue Velvet,,,,,,,,,,,,,,,
39,1986,DIRECTING,FALSE,Hannah and Her Sisters,,,,,,,,,,,,,,,
40,1986,DIRECTING,FALSE,The Mission,,,,,,,,,,,,,,,
41,1986,DIRECTING,TRUE,Platoon,,,,,,,,,,,,,,,
42,1986,DIRECTING,FALSE,A Room with a View,,,,,,,,,,,,,,,
43,1986,DOCUMENTARY (Feature),TRUE,Artie Shaw: Time Is All You've Got,,,,,,,,,,,,,,,
44,1986,DOCUMENTARY (Feature),FALSE,Chile: Hasta Cuando?,,,,,,,,,,,,,,,
45,1986,DOCUMENTARY (Feature),TRUE,Down and Out in America,,,,,,,,,,,,,,,
46,1986,DOCUMENTARY (Feature),FALSE,Isaac in America: A Journey with Isaac Bashevis Singer,,,,,,,,,,,,,,,
47,1986,DOCUMENTARY (Feature),FALSE,Witness to Apartheid,,,,,,,,,,,,,,,
48,1986,DOCUMENTARY (Short Subject),FALSE,Debonair Dancers,,,,,,,,,,,,,,,
49,1986,DOCUMENTARY (Short Subject),FALSE,The Masters of Disaster,,,,,,,,,,,,,,,
50,1986,DOCUMENTARY (Short Subject),FALSE,Red Grooms: Sunflower in a Hothouse,,,,,,,,,,,,,,,
51,1986,DOCUMENTARY (Short Subject),FALSE,Sam,,,,,,,,,,,,,,,
52,1986,DOCUMENTARY (Short Subject),TRUE,"Women--for America, for the World",,,,,,,,,,,,,,,
53,1986,FILM EDITING,FALSE,Aliens,,,,,,,,,,,,,,,
54,1986,FILM EDITING,FALSE,Hannah and Her Sisters,,,,,,,,,,,,,,,
55,1986,FILM EDITING,FALSE,The Mission,,,,,,,,,,,,,,,
56,1986,FILM EDITING,TRUE,Platoon,,,,,,,,,,,,,,,
57,1986,FILM EDITING,FALSE,Top Gun,,,,,,,,,,,,,,,
58,1986,FOREIGN LANGUAGE FILM,TRUE,The Assault,,,,,,,,,,,,,,,
59,1986,FOREIGN LANGUAGE FILM,FALSE,Betty Blue,,,,,,,,,,,,,,,
60,1986,FOREIGN LANGUAGE FILM,FALSE,The Decline of the American Empire,,,,,,,,,,,,,,,
61,1986,FOREIGN LANGUAGE FILM,FALSE,My Sweet Little Village,,,,,,,,,,,,,,,
62,1986,FOREIGN LANGUAGE FILM,FALSE,'38',,,,,,,,,,,,,,,
63,1986,MAKEUP,FALSE,The Clan of the Cave Bear,,,,,,,,,,,,,,,
64,1986,MAKEUP,TRUE,The Fly,,,,,,,,,,,,,,,
65,1986,MAKEUP,FALSE,Legend,,,,,,,,,,,,,,,
66,1986,MUSIC (Original Score),FALSE,Aliens,,,,,,,,,,,,,,,
67,1986,MUSIC (Original Score),FALSE,Hoosiers,,,,,,,,,,,,,,,
68,1986,MUSIC (Original Score),FALSE,The Mission,,,,,,,,,,,,,,,
69,1986,MUSIC (Original Score),TRUE,'Round Midnight,,,,,,,,,,,,,,,
70,1986,MUSIC (Original Score),FALSE,Star Trek IV: The Voyage Home,,,,,,,,,,,,,,,
71,1986,MUSIC (Original Song),FALSE,The Karate Kid Part II,,,,,,,,,,,,,,,
72,1986,MUSIC (Original Song),FALSE,That's Life,,,,,,,,,,,,,,,
73,1986,MUSIC (Original Song),FALSE,Little Shop of Horrors,,,,,,,,,,,,,,,
74,1986,MUSIC (Original Song),FALSE,An American Tail,,,,,,,,,,,,,,,
75,1986,MUSIC (Original Song),TRUE,Top Gun,,,,,,,,,,,,,,,
76,1986,BEST PICTURE,FALSE,Children of a Lesser God,,,,,,,,,,,,,,,
77,1986,BEST PICTURE,FALSE,Hannah and Her Sisters,,,,,,,,,,,,,,,
78,1986,BEST PICTURE,FALSE,The Mission,,,,,,,,,,,,,,,
79,1986,BEST PICTURE,TRUE,Platoon,,,,,,,,,,,,,,,
80,1986,BEST PICTURE,FALSE,A Room with a View,,,,,,,,,,,,,,,
81,1986,SHORT FILM (Animated),FALSE,"The Frog, the Dog and the Devil",,,,,,,,,,,,,,,
82,1986,SHORT FILM (Animated),TRUE,A Greek Tragedy,,,,,,,,,,,,,,,
83,1986,SHORT FILM (Animated),FALSE,Luxo Jr.,,,,,,,,,,,,,,,
84,1986,SHORT FILM (Live Action),FALSE,Exit,,,,,,,,,,,,,,,
85,1986,SHORT FILM (Live Action),FALSE,Love Struck,,,,,,,,,,,,,,,
86,1986,SHORT FILM (Live Action),TRUE,Precious Images,,,,,,,,,,,,,,,
87,1986,SOUND,FALSE,Aliens,,,,,,,,,,,,,,,
88,1986,SOUND,FALSE,Heartbreak Ridge,,,,,,,,,,,,,,,
89,1986,SOUND,TRUE,Platoon,,,,,,,,,,,,,,,
90,1986,SOUND,FALSE,Star Trek IV: The Voyage Home,,,,,,,,,,,,,,,
91,1986,SOUND,FALSE,Top Gun,,,,,,,,,,,,,,,
92,1986,SOUND EFFECTS EDITING,TRUE,Aliens,,,,,,,,,,,,,,,
93,1986,SOUND EFFECTS EDITING,FALSE,Star Trek IV: The Voyage Home,,,,,,,,,,,,,,,
94,1986,SOUND EFFECTS EDITING,FALSE,Top Gun,,,,,,,,,,,,,,,
95,1986,VISUAL EFFECTS,TRUE,Aliens,,,,,,,,,,,,,,,
96,1986,VISUAL EFFECTS,FALSE,Little Shop of Horrors,,,,,,,,,,,,,,,
97,1986,VISUAL EFFECTS,FALSE,Poltergeist II: The Other Side,,,,,,,,,,,,,,,
98,1986,WRITING (Screenplay Based on Material from Another Medium),FALSE,Children of a Lesser God,,,,,,,,,,,,,,,
99,1986,WRITING (Screenplay Based on Material from Another Medium),FALSE,The Color of Money,,,,,,,,,,,,,,,
100,1986,WRITING (Screenplay Based on Material from Another Medium),FALSE,Crimes of the Heart,,,,,,,,,,,,,,,
101,1986,WRITING (Screenplay Based on Material from Another Medium),TRUE,A Room with a View,,,,,,,,,,,,,,,
102,1986,WRITING (Screenplay Based on Material from Another Medium),FALSE,Stand by Me,,,,,,,,,,,,,,,
103,1986,WRITING (Screenplay Written Directly for the Screen),FALSE,'Crocodile' Dundee,,,,,,,,,,,,,,,
104,1986,WRITING (Screenplay Written Directly for the Screen),TRUE,Hannah and Her Sisters,,,,,,,,,,,,,,,
105,1986,WRITING (Screenplay Written Directly for the Screen),FALSE,My Beautiful Laundrette,,,,,,,,,,,,,,,
106,1986,WRITING (Screenplay Written Directly for the Screen),FALSE,Platoon,,,,,,,,,,,,,,,
107,1986,WRITING (Screenplay Written Directly for the Screen),FALSE,Salvador,,,,,,,,,,,,,,,
108,1986,HONORARY AWARD,TRUE,To Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.,,,,,,,,,,,,,,,
109,1986,IRVING G. THALBERG MEMORIAL AWARD,TRUE,Steven Spielberg,,,,,,,,,,,,,,,
110,1986,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),TRUE,"To BRAN FERREN, CHARLES HARRISON and KENNETH WISNER of Associates and Ferren for the concept and design of an advanced optical printer.",,,,,,,,,,,,,,,
111,1986,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),TRUE,To RICHARD BENJAMIN GRANT and RON GRANT of Auricle Control Systems for their invention of the Film Composer's Time Processor.,,,,,,,,,,,,,,,
112,1986,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),TRUE,"To ANTHONY D. BRUNO and JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories Incorporated and to MANFRED G. MICHELSON and BRUCE W. KELLER of Technical Film Systems, Incorporated, for the design and engineering of a Continuous-Feed Printer.",,,,,,,,,,,,,,,
113,1986,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),TRUE,"To ROBERT GREENBERG, JOEL HYNEK and EUGENE MAMUT of R/Greenberg Associates, Incorporated, and to DR. ALFRED THUMIM, ELAN LIPSCHITZ and DARRYL A. ARMOUR of the Oxberry Division of Richmark Camera Service, Incorporated, for the design and development of the RGA/Oxberry Compu-Quad Special Effects Optical Printer.",,,,,,,,,,,,,,,
114,1986,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),TRUE,To PROFESSOR FRITZ SENNHEISER of Sennheiser Electronic Corporation for the invention of an interference tube directional microphone.,,,,,,,,,,,,,,,
